ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Acadia NP,ACAD,National Park,Northeast ,ME,2025,1,"13,183",600,"87,009",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2025,"4,079,318","47,100",27250620,"47,100",0,"1,681","128,931","52,795","1,288",0,"11,764"
Acadia NP,ACAD,National Park,Northeast ,ME,2025,2,"10,352",600,"68,326",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2025,"4,079,318","47,100",27250620,"47,100",0,"1,681","128,931","52,795","1,288",0,"11,764"
Acadia NP,ACAD,National Park,Northeast ,ME,2025,3,"26,000",600,"171,600",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2025,"4,079,318","47,100",27250620,"47,100",0,"1,681","128,931","52,795","1,288",0,"11,764"
Acadia NP,ACAD,National Park,Northeast ,ME,2025,4,"95,200",600,"552,160",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2025,"4,079,318","47,100",27250620,"47,100",0,"1,681","128,931","52,795","1,288",0,"11,764"
Acadia NP,ACAD,National Park,Northeast ,ME,2025,5,"323,243","7,500","2,340,119","7,500",0,34,"11,606","4,468",80,0,867,Acadia NP,ACAD,National Park,Northeast ,ME,2025,"4,079,318","47,100",27250620,"47,100",0,"1,681","128,931","52,795","1,288",0,"11,764"
Acadia NP,ACAD,National Park,Northeast ,ME,2025,6,"631,333","7,500","4,699,110","7,500",0,200,"25,087","10,222",221,0,"2,294",Acadia NP,ACAD,National Park,Northeast ,ME,2025,"4,079,318","47,100",27250620,"47,100",0,"1,681","128,931","52,795","1,288",0,"11,764"
Acadia NP,ACAD,National Park,Northeast ,ME,2025,7,"797,030","7,500","5,182,020","7,500",0,289,"29,762","11,799",213,0,"3,122",Acadia NP,ACAD,National Park,Northeast ,ME,2025,"4,079,318","47,100",27250620,"47,100",0,"1,681","128,931","52,795","1,288",0,"11,764"
Acadia NP,ACAD,National Park,Northeast ,ME,2025,8,"844,268","7,500","5,420,310","7,500",0,456,"31,331","10,181",330,0,"2,993",Acadia NP,ACAD,National Park,Northeast ,ME,2025,"4,079,318","47,100",27250620,"47,100",0,"1,681","128,931","52,795","1,288",0,"11,764"
Acadia NP,ACAD,National Park,Northeast ,ME,2025,9,"659,471","7,500","4,135,320","7,500",0,351,"19,484","9,915",324,0,"1,584",Acadia NP,ACAD,National Park,Northeast ,ME,2025,"4,079,318","47,100",27250620,"47,100",0,"1,681","128,931","52,795","1,288",0,"11,764"
Acadia NP,ACAD,National Park,Northeast ,ME,2025,10,"599,253","6,000","4,114,736","6,000",0,351,"11,661","6,210",120,0,904,Acadia NP,ACAD,National Park,Northeast ,ME,2025,"4,079,318","47,100",27250620,"47,100",0,"1,681","128,931","52,795","1,288",0,"11,764"
