"Park_Name","park_name_key","Park_Code","Image_URL","Image_Title","Image_Credit","Image_Alt_Text"
"Acadia National Park","acadia","ACAD","https://www.nps.gov/common/uploads/structured_data/3C7B477B-1DD8-B71B-0BCB48E009241BAA.jpg","Sunset atop Cadillac Mountain","NPS / Kristi Rugg","A brilliant sunset filled with hues of blue, red, orange, magenta, and purple highlight the sky."
"Acadia National Park","acadia","ACAD","https://www.nps.gov/common/uploads/structured_data/3C7B4BEC-1DD8-B71B-0B2CF833F93140FF.jpg","Heavy snow-laden trees","NPS / Kristi Rugg","Hiking tracks carved through three feet of snow wind through a heavy snow-laden forest."
"Acadia National Park","acadia","ACAD","https://www.nps.gov/common/uploads/structured_data/3C7B45AE-1DD8-B71B-0B7EE131C7DFC2F5.jpg","Acadia's rocky coastline","NPS / Kristi Rugg","Large puffy clouds dot a brilliant blue sky as wave crash against the rocky coastline of Acadia."
"Acadia National Park","acadia","ACAD","https://www.nps.gov/common/uploads/structured_data/3C7B48F9-1DD8-B71B-0BD3B413E58978F8.jpg","Climbing The Precipice","NPS / Kristi Rugg","Two hikers ascend a sheer cliff trail by way of historic iron rung ladders."
"Arches National Park","arches","ARCH","https://www.nps.gov/common/uploads/structured_data/473F5463-F0D2-261D-CEF5FCB39363590B.jpg","An afternoon at Delicate Arch","NPS/Veronica Verdin","A crowd of people sit and watch the sunset at delicate arch."
"Arches National Park","arches","ARCH","https://www.nps.gov/common/uploads/structured_data/3C79931C-1DD8-B71B-0BF201E3DB540D04.jpg","Double O Arch","NPS Photo","a broad, red arch with rock pinnacles in the background"
"Arches National Park","arches","ARCH","https://www.nps.gov/common/uploads/structured_data/3C7A0B2B-1DD8-B71B-0BE0E26B0740AA6B.jpg","Delicate Arch","NPS Photo","a stone arch"
"Arches National Park","arches","ARCH","https://www.nps.gov/common/uploads/structured_data/3C7A0C49-1DD8-B71B-0B460D58D6E83B40.jpg","Milky Way over the Garden of Eden","NPS/Wonderly","the Milky Way arcs above silhouetted stone pinnacles"
"Arches National Park","arches","ARCH","https://www.nps.gov/common/uploads/structured_data/3C7A0DE5-1DD8-B71B-0BFBE720788EF4A3.jpg","Park Avenue Trail","NPS/Herbert","two hikers descend a broad wash with tall rock walls on either side."
"Badlands National Park","badlands","BADL","https://www.nps.gov/common/uploads/structured_data/3C82EE63-1DD8-B71B-0BD6EE0FDCB5D402.jpg","Badlands Storm","NPS Photo","Layered badlands formations behind fields of green grass under cloudy and billowing clouds."
"Badlands National Park","badlands","BADL","https://www.nps.gov/common/uploads/structured_data/3C82ED5D-1DD8-B71B-0B2F33D3B39D6D1B.jpg","Badlands Yellow Mounds","NPS Photo","The yellow mounds are peaking out of the formations in this photo."
