"Activity_ID","Activity_Name","Park_Code","Park_Full_Name","Park_URL"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","acad","Acadia National Park","https://www.nps.gov/acad/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","afbg","African Burial Ground National Monument","https://www.nps.gov/afbg/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","agfo","Agate Fossil Beds National Monument","https://www.nps.gov/agfo/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","alfl","Alibates Flint Quarries National Monument","https://www.nps.gov/alfl/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","alka","Ala Kahakai National Historic Trail","https://www.nps.gov/alka/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","alpo","Allegheny Portage Railroad National Historic Site","https://www.nps.gov/alpo/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","amme","American Memorial Park","https://www.nps.gov/amme/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","anjo","Andrew Johnson National Historic Site","https://www.nps.gov/anjo/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","apco","Appomattox Court House National Historical Park","https://www.nps.gov/apco/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","arch","Arches National Park","https://www.nps.gov/arch/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","arpo","Arkansas Post National Memorial","https://www.nps.gov/arpo/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","asis","Assateague Island National Seashore","https://www.nps.gov/asis/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","azru","Aztec Ruins National Monument","https://www.nps.gov/azru/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","band","Bandelier National Monument","https://www.nps.gov/band/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","beol","Bent's Old Fort National Historic Site","https://www.nps.gov/beol/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","bica","Bighorn Canyon National Recreation Area","https://www.nps.gov/bica/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","bicy","Big Cypress National Preserve","https://www.nps.gov/bicy/index.htm"
"09DF0950-D319-4557-A57E-04CD2F63FF42","Arts and Culture","biho","Big Hole National Battlefield","https://www.nps.gov/biho/index.htm"
