park_code,entity_name,type,latitude,longitude
BICR,A.G. Gaston Motel,Visitor Center,33.51516727,-86.81467831
SAPU,Abó Visitor Center,Visitor Center,34.45014109,-106.3744835
MAAC,Acadian Archives/Archives Acadiennes,Visitor Center,47.25007989,-68.58917753
JELA,Acadian Cultural Center,Visitor Center,30.21339638,-91.99415689
ADAM,Adams National Historical Park Visitor Center,Visitor Center,42.252183,-71.003598
PULL,Administration Clock Tower Building Visitor Center,Visitor Center,41.69376839,-87.60744682
KLGO,Administrative Office,Visitor Center,59.45352798,-135.3184086
AFBG,African Burial Ground National Monument Visitor Center,Visitor Center,40.714997,-74.005446
AGFO,Agate Fossil Beds National Monument Visitor Center,Visitor Center,42.42521048,-103.7341757
YELL,Albright Visitor Center,Visitor Center,44.97636905,-110.699535
ALEU,Aleutian World War II National Historic Area Visitor Center,Visitor Center,53.895804,-166.54079
ALFL,Alibates Visitor Center,Visitor Center,35.57931887,-101.7033396
MAAC,Allagash Historical Society/Museum,Visitor Center,47.11234793,-69.0902755
OZAR,Alley General Store,Visitor Center,37.153108,-91.443694
OZAR,Alley Mill,Visitor Center,37.154181,-91.441993
ROMO,Alpine Visitor Center,Visitor Center,40.44103094,-105.7545202
SAJH,American Camp Visitor Center,Visitor Center,48.4648037,-123.0243538
AMIS,Amistad National Recreation Area Visitor Center,Visitor Center,29.46599985,-100.9884111
GAAR,Anaktuvuk Pass Ranger Station,Visitor Center,68.14220712,-151.7370135
ANCH,Anchorage Alaska Public Lands Information Center,Visitor Center,61.218585,-149.89403
ANJO,Andrew Johnson NHS Visitor Center,Visitor Center,36.16291465,-82.82954187
FRRI,Anniston Greyhound Bus Depot,Visitor Center,33.6579777,-85.83127404
ANTI,Antietam National Battlefield Visitor Center,Visitor Center,39.47420805,-77.744525
JUBA,Anza-Borrego Desert State Park Visitor Center,Visitor Center,33.25848091,-116.4038814
GLAC,Apgar Visitor Center,Visitor Center,48.523107,-113.988484
CANA,Apollo Beach Visitor Center,Visitor Center,28.927067,-80.824302
APPA,Appalachian Trail Conservancy - Damascus Trail Center,Visitor Center,36.63540293,-81.79005226
APPA,Appalachian Trail Conservancy - Harper's Ferry Visitor Center,Visitor Center,39.32549056,-77.74054784
APPA,Appalachian Trail Conservancy - Monson Visitor Center,Visitor Center,45.28602292,-69.49966459
APCO,Appomattox Court House Visitor Center,Visitor Center,37.37752048,-78.79598141
ARCH,Arches Visitor Center,Visitor Center,38.61656773,-109.6200423
GAAR,Arctic Interagency Visitor Center,Visitor Center,67.252732,-150.186946
ARPO,Arkansas Post Visitor Center,Visitor Center,34.01657484,-91.34510795
VOYA,Ash River Visitor Center,Visitor Center,48.43560185,-92.85043063
ASIS,Assateague Island Visitor Center,Visitor Center,38.2478717,-75.1545833
MAAC,Association Culturelle et Historique du Mont-Carmel,Visitor Center,47.27906596,-68.10842529
AZRU,Aztec Ruins National Monument Visitor Center,Visitor Center,36.8345855,-108.0002569
KLSE,Bainbridge Island Japanese American Exclusion Memorial,Visitor Center,47.61449,-122.508886
BAND,Bandelier National Monument Visitor Center,Visitor Center,35.77911252,-106.2708858
BISO,Bandy Creek Visitor Center,Visitor Center,36.48771295,-84.69747617
JELA,Barataria Preserve,Visitor Center,29.78395415,-90.11552594
MOJA,Barstow Headquarters Information Desk,Visitor Center,34.87137837,-117.0202466
APIS,Bayfield Headquarters,Visitor Center,46.812314,-90.819953
PINN,Bear Gulch Nature Center,Visitor Center,36.48136264,-121.1808052
PORE,Bear Valley Visitor Center,Visitor Center,38.04112214,-122.8003357
ROMO,Beaver Meadows Visitor Center,Visitor Center,40.36623074,-105.5609693
CEBE,Belle Grove Welcome Center,Visitor Center,39.02147595,-78.30430269
BADL,Ben Reifel Visitor Center,Visitor Center,43.74908,-101.941661
BELA,Bering Land Bridge Heritage Center,Visitor Center,64.49783286,-165.4082492
GAAR,Bettles Ranger Station and Visitor Center,Visitor Center,66.91921,-151.514073
JUBA,Big Break Visitor Center at the Delta,Visitor Center,38.0098414,-121.7291504
YOSE,Big Oak Flat Information Station,Visitor Center,37.80034015,-119.8754342
OZAR,Big Spring Entrance Station,Visitor Center,36.94767323,-91.0013734
BITH,Big Thicket Visitor Center,Visitor Center,30.4583345,-94.38740416
MABI,Billings Farm & Museum Visitor Center (Partner Visitor Center in Shared Parking Area),Visitor Center,43.6316731,-72.5158854
JOTR,Black Rock Nature Center,Visitor Center,34.07335886,-116.3906382
BISO,Blue Heron Interpretive Center,Visitor Center,36.67079405,-84.54764797
BLRI,Blue Ridge Music Center (Milepost 213),Visitor Center,36.57319745,-80.85000087
BLRI,Blue Ridge Parkway Visitor Center (Milepost 384),Visitor Center,35.56582265,-82.48632347
CAHA,Bodie Island Visitor Center,Visitor Center,35.81826,-75.563998
BOWA,Booker T. Washington National Monument Visitor Center,Visitor Center,37.1194889,-79.7316542
LOWE,Boott Cotton Mills Museum,Visitor Center,42.64734787,-71.30693875
BOHA,Boston Harbor Islands Welcome Center,Visitor Center,42.360224,-71.052466
CUVA,Boston Mill Visitor Center,Visitor Center,41.26258795,-81.56030814
FOUS,Bourgeois House Visitor Center,Visitor Center,47.999466,-104.040525
MANA,Brawner Farm Interpretive Center,Visitor Center,38.81332553,-77.56514449
SAIR,Broadhearth,Visitor Center,42.46860283,-71.00900279
KATM,Brooks Camp Visitor Center,Visitor Center,58.55613687,-155.7782212
CHOH,Brunswick Visitor Center,Visitor Center,39.31300238,-77.6280245
BRCA,Bryce Canyon Visitor Center,Visitor Center,37.64038737,-112.1696423
BUIS,Buck Island Reef National Monument,Visitor Center,17.746806,-64.701884
BUFF,Buffalo Point Visitor Contact Station,Visitor Center,36.0787704,-92.57388438
GLCA,Bullfrog Visitor Center,Visitor Center,37.52834528,-110.7197479
BOST,Bunker Hill Museum,Visitor Center,42.37562841,-71.06138885
WEFA,Burlingham House Visitor Center,Visitor Center,41.2565092,-73.4564455
DEWA,Bushkill Meeting Center,Visitor Center,41.08997723,-75.00416004
CEBE,CCBF Museum & Visitor Center,Visitor Center,39.0166498,-78.2971364
GRSM,Cades Cove Visitor Center,Visitor Center,35.58496785,-83.84308667
BICA,"Cal S. Taggart Bighorn Canyon Visitor Center (Lovell, WY. South District)",Visitor Center,44.83747995,-108.3766725
FRRI,Calhoun County Chamber of Commerce,Visitor Center,33.66210339,-85.82721233
KEWE,Calumet Visitor Center,Visitor Center,47.244,-88.4525
CANE,"Camp Nelson National Monument Visitor Center, Museum, and Barracks",Visitor Center,37.797005,-84.600577
CUVA,Canal Exploration Center,Visitor Center,41.37258205,-81.61302898
GARI,Canyon Rim Visitor Center,Visitor Center,38.0700508,-81.0759353
NERI,Canyon Rim Visitor Center,Visitor Center,38.0700508,-81.0759353
DINO,Canyon Visitor Center - Colorado,Visitor Center,40.24363259,-108.9724704
YELL,Canyon Visitor Education Center,Visitor Center,44.73471505,-110.491852
CANY,Canyonlands Backcountry Office,Visitor Center,38.539153,-109.51026
CARE,Capitol Reef National Park Visitor Center,Visitor Center,38.2914728,-111.2620397
CAVO,Capulin Volcano Visitor Center,Visitor Center,36.77869847,-103.9800077
MORA,Carbon River Ranger Station,Visitor Center,46.98711962,-121.9614377
GLCA,Carl Hayden Visitor Center,Visitor Center,36.93574647,-111.4855943
MABI,Carriage Barn Visitor Center,Visitor Center,43.63107438,-72.51797318
CAGR,Casa Grande Ruins National Monument,Visitor Center,32.99477124,-111.5367218
FOMR,Casemate Museum,Visitor Center,37.00216282,-76.30935609
CACL,Castle Clinton NM,Visitor Center,40.7034544,-74.0165614
BIBE,Castolon Visitor Center,Visitor Center,29.13428214,-103.5149217
CEBR,Cedar Breaks Visitor Center,Visitor Center,37.61245997,-112.8371097
SEKI,Cedar Grove Visitor Center,Visitor Center,36.79096018,-118.6711346
CHCU,Chaco Culture National Historical Park Visitor Center,Visitor Center,36.03032544,-107.9105896
JELA,Chalmette Battlefield and Chalmette National Cemetery,Visitor Center,29.94213465,-89.99435228
CHAM,Chamizal National Memorial Cultural Center,Visitor Center,31.76794498,-106.4538736
FRSP,Chancellorsville Battlefield Visitor Center,Visitor Center,38.3111534,-77.6499275
CHIS,Channel Islands National Park Visitor Center,Visitor Center,34.2484535,-119.266582
CHPI,Charles Pinckney National Historic Site Visitor Center,Visitor Center,32.846122,-79.824669
BOST,Charlestown Navy Yard Visitor Center,Visitor Center,42.3732225,-71.0566187
FRSP,Chatham,Visitor Center,38.3087196,-77.4554716
CHCH,Chickamauga Battlefield Visitor Center,Visitor Center,34.94031105,-85.25994097
RICH,Chimborazo Medical Museum,Visitor Center,37.5268166,-77.4122192
CHIR,Chiricahua National Monument Visitor Center,Visitor Center,32.00543317,-109.3564183
