Park_Name,Park_Code,State,City,Phone,Email,Monday_Hours,Website_URL,Description
Acadia National Park,acad,ME,Bar Harbor,2072883338,acadia_information@nps.gov,All Day,https://www.nps.gov/acad/index.htm,"Acadia National Park protects the natural beauty of the highest rocky headlands along the Atlantic coastline of the United States, an abundance of habitats, and a rich cultural heritage. At 4 million visits a year, it's one of the top 10 most-visited national parks in the United States. Visitors enjoy 27 miles of historic motor roads, 158 miles of hiking trails, and 45 miles of carriage roads."
Arches National Park,arch,UT,Moab,4357192299,archinfo@nps.gov,All Day,https://www.nps.gov/arch/index.htm,"Discover a landscape of contrasting colors, land forms, and textures unlike any other. The park has over 2,000 natural stone arches, hundreds of soaring pinnacles, massive rock fins, and giant balanced rocks. This red-rock wonderland will amaze you with its formations, refresh you with its trails, and inspire you with its sunsets."
Badlands National Park,badl,SD,Interior,6054335361,badl_information@nps.gov,All Day,https://www.nps.gov/badl/index.htm,"The rugged beauty of the Badlands draws visitors from around the world. These striking geologic deposits contain one of the world’s richest fossil beds. Ancient horses and rhinos once roamed here. The park’s 244,000 acres protect an expanse of mixed-grass prairie where bison, bighorn sheep, prairie dogs, and black-footed ferrets live today."
Big Bend National Park,bibe,TX,Big Bend National Park,432-477-2251,bibe_info@nps.gov,All Day,https://www.nps.gov/bibe/index.htm,"There is a place in Far West Texas where night skies are dark as coal and rivers carve temple-like canyons in ancient limestone. Here, at the end of the road, hundreds of bird species take refuge in a solitary mountain range surrounded by weather-beaten desert. Tenacious cactus bloom in sublime southwestern sun, and species diversity is the best in the country. This magical place is Big Bend..."
Biscayne National Park,bisc,FL,Homestead,786-335-3620,bisc_information@nps.gov,7:00AM - 5:30PM,https://www.nps.gov/bisc/index.htm,"Within sight of Miami, yet worlds away, Biscayne protects a rare combination of aquamarine waters, emerald islands, and fish-bejeweled coral reefs. Evidence of 10,000 years of human history is here too; from prehistoric tribes to shipwrecks, and pineapple farmers to presidents. For many, the park is a boating, fishing, and diving destination, while others enjoy a warm breeze and peaceful scenery."
Black Canyon Of The Gunnison National Park,blca,CO,Montrose,970-641-2337,blca_info@nps.gov,All Day,https://www.nps.gov/blca/index.htm,"Big enough to be overwhelming, yet still intimate enough to feel the pulse of time. Come see some of the steepest cliffs, oldest rock, and craggiest spires in North America. Forces of nature and the Gunnison River sculpted this canyon over two million years. The result is a vertical wilderness of rock, water, and sky."
Bryce Canyon National Park,brca,UT,Bryce,4358345322,brca_information@nps.gov,All Day,https://www.nps.gov/brca/index.htm,"Hoodoos (irregular columns of rock) exist on every continent, but here is the largest concentration found anywhere on Earth. Situated along a high plateau at the top of the Grand Staircase, the park's high elevations include numerous life communities, fantastic dark skies, and geological wonders that defy description."
Canyonlands National Park,cany,UT,Moab,435-719-2313,canyinfo@nps.gov,All Day,https://www.nps.gov/cany/index.htm,"Canyonlands is a wilderness of canyons, buttes, and spires carved by the Colorado River and Green River. The park is divided into four distinct districts; no roads join them together. The districts share similar desert ecosystems, but each one provides unique opportunities for adventure and discovery."
Capitol Reef National Park,care,UT,Torrey,435-425-3791,care_information@nps.gov,All Day,https://www.nps.gov/care/index.htm,"Located in south-central Utah in the heart of red rock country, Capitol Reef National Park is a hidden treasure filled with cliffs, canyons, domes, and bridges in the Waterpocket Fold, a geologic monocline (a wrinkle on the earth) extending almost 100 miles."
Carlsbad Caverns National Park,cave,NM,Carlsbad,5757852232,cave_park_information@nps.gov,9:00AM - 2:30PM,https://www.nps.gov/cave/index.htm,"High ancient sea ledges, deep rocky canyons, flowering cactus, and desert wildlife—treasures above the ground in the Chihuahuan Desert. Hidden beneath the surface are more than 119 caves—formed when sulfuric acid dissolved limestone leaving behind caverns of all sizes."
Channel Islands National Park,chis,CA,Ventura,8056585730,chis_information@nps.gov,All Day,https://www.nps.gov/chis/index.htm,"Channel Islands National Park encompasses five remarkable islands and their ocean environment, preserving and protecting a wealth of natural and cultural resources. Isolation over thousands of years has created unique animals, plants, and archeological resources found nowhere else on Earth and helped preserve a place where visitors can experience coastal southern California as it once was."
Congaree National Park,cong,SC,Hopkins,8037764396,cong_information@nps.gov,All Day,https://www.nps.gov/cong/index.htm,"Astonishing biodiversity exists in Congaree National Park, the largest intact expanse of old growth bottomland hardwood forest remaining in the southeastern United States. Waters from the Congaree and Wateree Rivers sweep through the floodplain, carrying nutrients and sediments that nourish and rejuvenate this ecosystem and support the growth of national and state champion trees."
Crater Lake National Park,crla,OR,Crater Lake,5415943000,craterlake@nps.gov,All Day,https://www.nps.gov/crla/index.htm,"Crater Lake inspires awe. Native Americans witnessed its formation 7,700 years ago, when a violent eruption triggered the collapse of a tall peak. Scientists marvel at its purity—fed by rain and snow, it’s the deepest lake in the USA and one of the most pristine on Earth. Artists, photographers, and sightseers gaze in wonder at its blue water and stunning setting atop the Cascade Mountain Range."
Cuyahoga Valley National Park,cuva,OH,Peninsula,4407173890,cuva_info@nps.gov,All Day,https://www.nps.gov/cuva/index.htm,"Though a short distance from the urban areas of Cleveland and Akron, Cuyahoga Valley National Park seems worlds away. The park is a refuge for native plants and wildlife, and provides routes of discovery for visitors. The winding Cuyahoga River gives way to deep forests, rolling hills, and open farmlands. Walk or ride the Towpath Trail to follow the historic route of the Ohio & Erie Canal."
Death Valley National Park,deva,CA,Death Valley,7607863200,deva_information@nps.gov,All Day,https://www.nps.gov/deva/index.htm,"In this below-sea-level basin, steady drought and record summer heat make Death Valley a land of extremes. Yet, each extreme has a striking contrast. Towering peaks are frosted with winter snow. Rare rainstorms bring vast fields of wildflowers. Lush oases harbor tiny fish and refuge for wildlife and humans. Despite its morbid name, a great diversity of life thrives in Death Valley."
Denali National Park & Preserve,dena,AK,Denali Park,9076839532,denali_info@nps.gov,All Day,https://www.nps.gov/dena/index.htm,"Denali is six million acres of wild land, bisected by one ribbon of road. Travelers along it see the relatively low-elevation taiga forest give way to high alpine tundra and snowy mountains, culminating in North America's tallest peak, 20,310' Mount McKinley. Wild animals large and small roam un-fenced lands, living as they have for ages. Solitude, tranquility and wilderness await."
Dry Tortugas National Park,drto,FL,Homestead,3052427700,drto_information@nps.gov,All Day,https://www.nps.gov/drto/index.htm,"Almost 70 miles (113 km) west of Key West lies the remote Dry Tortugas National Park. This 100-square mile park is mostly open water with seven small islands. Accessible only by boat or seaplane, the park is known the world over as the home of magnificent Fort Jefferson, picturesque blue waters, superlative coral reefs and marine life, and the vast assortment of bird life that frequents the area."
Everglades National Park,ever,FL,Homestead,3052427700,ever_information@nps.gov,All Day,https://www.nps.gov/ever/index.htm,"Established in 1947 as the first national park created for its biodiversity, Everglades National Park protects 1.5 million acres of wetland, forest, and marine habitats and the native plants and animals that call it home. With several international designations, the park provides a major source of drinking water for local residents of South Florida and recreational opportunities for all."
Gates Of The Arctic National Park & Preserve,gaar,AK,Fairbanks,907-459-3730,fair_information@nps.gov,All Day,https://www.nps.gov/gaar/index.htm,"This vast landscape does not contain any roads or trails. Visitors discover intact ecosystems where people have lived with the land for over ten thousand years. Wild rivers meander through glacier-carved valleys, caribou migrate along age-old trails, endless summer light fades into aurora-lit night skies of winter. Virtually unchanged, except by the forces of nature."
Gateway Arch National Park,jeff,MO,St. Louis,3146551600,jeff_superintendent@nps.gov,9:00AM - 6:00PM,https://www.nps.gov/jeff/index.htm,"Gateway Arch National Park commemorates President Jefferson’s vision of a continental nation, the individuals and cultural groups who helped shape its history, St. Louis’ role in westward expansion, and Dred and Harriet Scott, who sued for their freedom in the Old Courthouse."
