"Park_Code","Title","Duration","Short_Description","Image_URL","Record_Type"
"abli","Boyhood at Knob Creek - Grounds Walking Tour","45","On this walking tour, you will view the grounds of the Abraham Lincoln Birthplace Boyhood Unit, and the buildings on site.","https://www.nps.gov/common/uploads/tours/31BCEC63-0DF9-4566-B0837ACBC37DD773.jpg","Tour"
"abli","Pathway of a President - Accessible Route Tour","45","View the First Lincoln Memorial, Symbolic Cabin, travel the Pathway of a President trail, and more as you enjoy a journey at the Birthplace Unit of Abraham Lincoln Birthplace National Historic Park.","https://www.nps.gov/common/uploads/tours/5CCF8986-0850-34B2-177CDAF0A168F4C9.jpg","Tour"
"acad","Carriage Road Bridges Tour","2","This self-guided tour takes visitors by a number of historic carriage road bridges. It starts from Jordan Pond House and goes along carriage roads to create a five mile loop. Duration will vary whether visitors are on foot or bicycle. John D. Rockefeller financed 16 of 17 stone-faced bridges, each unique in design, to span streams, waterfalls, roads, and cliffsides. The bridges are steel-reinforced concrete, but the use of native stone for the facing gives them a natural appearance.","https://www.nps.gov/common/uploads/tours/665D5435-FD97-D128-6E5D7715058FDCA2.jpg","Tour"
"acad","Great Head Guided Hike","2","Learn about Acadia's natural and historical resources on the scenic Great Head Trail! From the park's 400-million-year old volcanic origins to a dramatic shipwreck on Sand Beach, the Great Head Trail contains many stories. This moderate hike is roughly two miles long and includes rolling terrain with some short, steep climbs. Wear sturdy shoes and bring a hat, sunscreen, bug spray, and water with you. Due to limited service, save Acadia for offline use on the NPS app to access these tour stops on trail.","https://www.nps.gov/common/uploads/tours/C1A2532E-C2F6-353C-8534B8173EF85467.jpg","Tour"
"acad","Hike Beech Cliff Trail with Island Explorer Bus","2-4 Hours","The Beech Cliff Trail climbs a steep rock face from the southern end of Echo Lake to the top of the cliffs. Continue north along the short and fun Beech Cliff Loop to be treated to even more views from the top of the cliffs. The descent is more gradual and goes down a forested area via the Canada Cliffs Trail back to the beginning of the hike.","https://www.nps.gov/common/uploads/cropped_image/0868CA38-ABD9-8E3A-17D7AF97C900E7C2.jpg","Thing To Do"
"acad","Hike Double Bubble Nubble Loop with Island Explorer","4-5 Hours","The trek to summit both Bubbles and Conners Nubble summits three peaks and accesses iconic park locations. Hikers will be treated to views of lakes and mountains while exploring woodlands. By hiking with the use of the Island Explorer Bus, these trails are accessible in a unique way and helps hikers overcome the crowds while exploring popular viewpoints.","https://www.nps.gov/common/uploads/cropped_image/FFC992AF-DC97-6018-B82CA429D58F02E1.jpg","Thing To Do"
"acad","Hike Gorge/Cadillac Mountain North Ridge Loop with Island Explorer Bus","2-4 Hours","This is a great option for hiking to the summit of Cadillac Mountain. It follows Kebo Brook which cuts deeply through the granite bedrock with views of steep canyons walls from the gorge below. The final portion of the path ascends a steep rock face and gives hikers vistas of Dorr Mountain, Frenchman Bay, the Atlantic Ocean, as well the deeply cut gorge itself. The summit of Cadillac Mountain provides a 360-degree view out over Mount Desert Island.","https://www.nps.gov/common/uploads/cropped_image/A0CEA281-C355-A0A3-BE13F47EFBA4F4BF.jpg","Thing To Do"
"acad","Hike Great Head with Island Explorer Bus","1-2 Hours","Great Head Trial provides visitors a chance to hike a shorter trail and get amazing views of the ocean and forest in the same hike. Enjoy the views while relaxing on the beach afterward.","https://www.nps.gov/common/uploads/cropped_image/06EB280A-DB64-D710-D018C5DB8EE3521A.jpg","Thing To Do"
"acad","Hike Jordan Pond Loop with Island Explorer Bus","1-2 Hours","If looking for a way to relax, to take in some magnificent views, or to just burn some of the calories from the popovers consumed at the Jordan Pond house, the Jordan Pond Path is a great choice. Even just walking along the eastern shoreline is a certain way to enjoy some scenic vistas of one of Acadia’s iconic locations.  ","https://www.nps.gov/common/uploads/cropped_image/9F0EE312-D389-6DE7-07FD714C64DA1F94.jpg","Thing To Do"
"acad","Hike Jordan Pond Path","1-3 Hours","The trail follows the shore of Jordan Pond, providing iconic views of steep, glacially sculpted mountains and the glacially carved valley that is now Jordan Pond.","https://www.nps.gov/common/uploads/cropped_image/5FE2C6BD-CAB8-DD39-67BFF197DDF1D79C.jpg","Thing To Do"
